Date,Timestamp,Open,High,Low,Close,Volume
20191223,00:00:00,1.10801,1.10801,1.10766,1.10767,1414.74000353366
20191223,00:30:00,1.10768,1.10768,1.1073,1.10762,1588.38000389934
20191223,01:00:00,1.10762,1.10771,1.10745,1.10766,1689.89000169933
20191223,01:30:00,1.10766,1.10788,1.10764,1.10784,1165.26000573486
20191223,02:00:00,1.10783,1.10784,1.10747,1.10761,1055.67999942601
20191223,02:30:00,1.10763,1.10785,1.10761,1.10784,749.760004140437
20191223,03:00:00,1.10783,1.10819,1.10777,1.10818,1201.29000476748
20191223,03:30:00,1.10818,1.1083,1.1081,1.10812,834.910000890493
20191223,04:00:00,1.10812,1.10818,1.10805,1.10808,754.030004411936
20191223,04:30:00,1.10811,1.10814,1.10779,1.10783,663.070003584027
20191223,05:00:00,1.10783,1.10802,1.10777,1.10793,1228.42000575364
20191223,05:30:00,1.10793,1.10832,1.10781,1.10821,822.770005650818
20191223,06:00:00,1.10822,1.1085,1.10821,1.10837,2356.27001713216
20191223,06:30:00,1.10838,1.10864,1.10836,1.10838,1624.61000776291
20191223,07:00:00,1.1084,1.10859,1.1082,1.10829,2734.67999970168
20191223,07:30:00,1.10829,1.10855,1.10815,1.10837,2411.6300054118
20191223,08:00:00,1.10836,1.1086,1.10802,1.10824,3189.33001305908
20191223,08:30:00,1.10823,1.10886,1.10823,1.10836,2836.20000561327
20191223,09:00:00,1.10837,1.10859,1.10816,1.10823,2906.97999913991
20191223,09:30:00,1.10823,1.10869,1.10807,1.10835,3831.16000787914
20191223,10:00:00,1.10833,1.1086,1.1081,1.10831,4303.80000520498
20191223,10:30:00,1.10831,1.10882,1.10819,1.10828,3908.39000425488
20191223,11:00:00,1.10829,1.10834,1.10769,1.10786,3236.88000814617
20191223,11:30:00,1.10785,1.1082,1.10765,1.10808,3478.83002411574
20191223,12:00:00,1.10808,1.10808,1.10748,1.10764,4346.11001241207
20191223,12:30:00,1.10766,1.10778,1.10716,1.10742,3022.51000554115
20191223,13:00:00,1.10743,1.10762,1.10699,1.10708,3616.86000945419
20191223,13:30:00,1.10708,1.10836,1.10699,1.10801,4304.42000836134
20191223,14:00:00,1.10802,1.10849,1.10765,1.10829,3322.44000914693
20191223,14:30:00,1.10828,1.10873,1.1082,1.10873,3279.99001191556
20191223,15:00:00,1.10871,1.10929,1.10857,1.10901,4576.11000227183
20191223,15:30:00,1.109,1.10958,1.10855,1.10871,4935.9900091663
20191223,16:00:00,1.10872,1.10897,1.10847,1.10885,3831.66000268608
20191223,16:30:00,1.10883,1.10942,1.10883,1.10897,3188.05000925809
20191223,17:00:00,1.10898,1.10912,1.10853,1.10907,2934.35000929981
20191223,17:30:00,1.10906,1.10919,1.10894,1.10909,2119.47001631558
20191223,18:00:00,1.10908,1.1093,1.10879,1.1089,1982.71001242846
20191223,18:30:00,1.1089,1.10903,1.10871,1.10896,764.690001063049
20191223,19:00:00,1.10896,1.10933,1.10896,1.10923,1277.58000540733
20191223,19:30:00,1.10923,1.10945,1.10921,1.10934,1972.70000047982
20191223,20:00:00,1.10932,1.10948,1.10921,1.10937,960.100001215935
20191223,20:30:00,1.1094,1.10943,1.10916,1.10922,1427.17000360787
20191223,21:00:00,1.10921,1.10944,1.10893,1.10899,548.380001373589
20191223,21:30:00,1.10898,1.10919,1.10884,1.10895,1292.25000526011
20191223,22:00:00,1.10895,1.10899,1.10888,1.10896,1260.26997435093
20191223,22:30:00,1.10896,1.10911,1.10884,1.10899,1891.41999391466
20191223,23:00:00,1.10899,1.10931,1.10895,1.10919,1054.60000370443
