Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2003.09.30 00:00,2003.10.06 23:30,1.1594,1.17668,1.15309,1.17049,6741871,1348374,235.9,1.1687,1.1724,1.162,104.0,2472,849,1562,0.54,4.15,23,18.6,1.0,1.1764,1.1737,1.171,1.1656,1.1602,1.1575,1.1548,386,1146,487,434,2003-10-06 23:30:00,53.999999999998494,1
2003.10.01 00:00,2003.10.07 23:30,1.16515,1.18098,1.15309,1.1756,6735743,1347149,278.9,1.1687,1.176,1.1614,146.0,2311,1249,1002,1.25,3.3,12,17.3,1.0,1.1798,1.17667,1.17355,1.1673,1.16105,1.15793,1.1548,397,1184,319,388,2003-10-07 23:30:00,-62.499999999998664,2
2003.10.02 00:00,2003.10.08 23:30,1.17123,1.1837600000000001,1.15309,1.18062,6724516,1344903,306.7,1.1711,1.1808,1.167,138.0,2319,1080,1191,0.91,3.01,3,17.4,1.0,1.1832,1.17965,1.1761,1.169,1.1619,1.15835,1.1548,716,783,387,414,2003-10-08 23:30:00,-71.00000000000107,2
2003.10.15 00:00,2003.10.21 23:30,1.17194,1.17431,1.15515,1.16641,6694155,1338831,191.6,1.1631,1.1686,1.1606,80.0,2412,1399,936,1.49,4.97,-8,18.2,1.0,1.174,1.1717,1.1694,1.1648,1.1602,1.1579,1.1556,254,669,1137,343,2003-10-21 23:30:00,45.999999999999375,1
2003.11.05 00:00,2003.11.11 23:30,1.14905,1.15414,1.1376899999999999,1.1519,6731706,1346341,164.5,1.1475,1.1524,1.1432,92.0,2103,875,1179,0.74,5.07,10,15.5,1.0,1.1536,1.15168,1.14975,1.1459,1.14205,1.1401299999999999,1.1382,501,663,592,339,2003-11-11 23:30:00,38.49999999999909,1
2003.12.01 00:00,2003.12.05 23:30,1.1970299999999998,1.21767,1.19354,1.21634,6760221,1352044,241.3,1.2079,1.2172,1.2018,154.0,2385,1006,1298,0.78,3.91,11,17.8,1.0,1.217,1.2141,1.2112,1.2054,1.1996,1.1967,1.1938,293,1217,360,506,2003-12-05 23:30:00,58.00000000000027,1
2003.12.08 00:00,2003.12.12 23:30,1.21709,1.2304700000000002,1.2111299999999998,1.2273,6759744,1351949,193.4,1.2217,1.2258,1.2176,82.0,2222,1007,1122,0.9,4.53,-7,16.6,1.0,1.23,1.22785,1.2257,1.2214,1.2171,1.21495,1.2128,205,962,632,407,2003-12-12 23:30:00,42.9999999999997,1
2003.12.09 00:00,2003.12.15 23:30,1.22157,1.2321600000000001,1.2111299999999998,1.23147,6758333,1351667,210.3,1.2217,1.2262,1.2174,88.0,2331,1166,1078,1.08,4.4,-1,18.0,1.0,1.232,1.22958,1.22715,1.2223,1.21745,1.2150299999999998,1.2126,261,750,942,366,2003-12-15 23:30:00,48.500000000000206,1
2003.12.10 00:00,2003.12.16 23:30,1.2256,1.23584,1.2111299999999998,1.23292,6751900,1350380,247.1,1.2217,1.2278,1.2132,146.0,2336,1275,992,1.29,3.74,-8,18.1,1.0,1.2354,1.23255,1.2297,1.224,1.2183,1.21545,1.2126,521,416,951,434,2003-12-16 23:30:00,57.000000000000384,1
2003.12.23 00:00,2003.12.29 23:30,1.23932,1.25058,1.23803,1.24866,6214606,1242921,125.5,1.2449,1.2466,1.24,66.0,1693,534,1064,0.5,5.37,13,12.1,1.0,1.2502,1.2487,1.2472,1.2442,1.2412,1.2397,1.2382,186,669,331,502,2003-12-29 23:30:00,29.999999999998916,1
