Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Dist#1 UL,Dist#1 LL,Dist#2 UL,Dist#2 LL,Dist#3 UL,Dist#3 LL,Dist#4 UL,Dist#4 LL,Dist#5 UL,Dist#5 LL
2003.05.07 00:00,2003.05.09 23:30,1.14297,1.15366,1.13006,1.14877,3816114,1272038,236.0,1.14850,1.15260,1.13800,146.0,1552,388,1127,0.34,4.35,-15,19.9,1.00000,1.15320,1.15040,1.14760,1.14200,1.13640,1.13360,1.13080,509,287,378,368,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.08 00:00,2003.05.12 23:30,1.13605,1.16229,1.13006,1.15427,3808492,1269497,322.3,1.14890,1.15820,1.14440,138.0,1508,799,649,1.23,3.10,5,19.3,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.16100,1.14300,1.13700,1.13080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.09 00:00,2003.05.13 23:30,1.14932,1.16229,1.14346,1.15120,3807126,1269042,188.3,1.15090,1.15540,1.14760,78.0,1567,901,604,1.49,5.50,8,20.0,1.00000,1.16100,1.15902,1.15705,1.15310,1.14915,1.14718,1.14520,191,397,714,249,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.12 00:00,2003.05.14 23:30,1.14888,1.16229,1.14620,1.14940,3811680,1270560,160.9,1.15010,1.15540,1.14840,70.0,1542,1126,353,3.19,6.35,9,19.5,1.00000,1.16100,1.15925,1.15750,1.15400,1.15050,1.14875,1.14700,163,340,571,455,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.13 00:00,2003.05.15 23:30,1.15357,1.15739,1.13744,1.13847,3817150,1272383,199.5,1.15010,1.15340,1.14660,68.0,1494,656,777,0.84,4.98,-15,18.8,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.15680,1.14200,1.14020,1.13800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.14 00:00,2003.05.16 23:30,1.15120,1.15766,1.13675,1.15705,3827372,1275791,209.1,1.14930,1.15420,1.14320,110.0,1344,513,796,0.64,4.23,1,16.8,1.00000,1.15760,1.15505,1.15250,1.14740,1.14230,1.13975,1.13720,182,533,354,269,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.15 00:00,2003.05.19 23:30,1.14913,1.17353,1.13675,1.16566,3826360,1275453,367.8,1.16870,1.17353,1.14500,285.3,1428,176,1219,0.14,2.57,-9,18.7,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17220,1.16280,1.15760,1.15240,1.14980,1.13720,0.00000,0.00000,0.00000,0.00000
2003.05.16 00:00,2003.05.20 23:30,1.13775,1.17353,1.13675,1.17039,3828556,1276185,367.8,1.16530,1.17220,1.16040,118.0,1502,685,757,0.90,2.71,5,19.7,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17220,1.16060,1.15760,1.15240,1.14340,1.13720,0.00000,0.00000,0.00000,0.00000
2003.05.19 00:00,2003.05.21 23:30,1.16564,1.17437,1.15998,1.16716,3824188,1274729,143.9,1.16870,1.17160,1.16500,66.0,1543,632,870,0.73,7.05,-22,19.6,1.00000,1.17380,1.17215,1.17050,1.16720,1.16390,1.16225,1.16060,343,552,496,142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.20 00:00,2003.05.22 23:30,1.16520,1.17437,1.15998,1.16908,3823805,1274602,143.9,1.17050,1.17220,1.16480,74.0,1477,318,1116,0.28,6.74,-6,18.8,1.00000,1.17380,1.17215,1.17050,1.16720,1.16390,1.16225,1.16060,355,469,446,197,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
