Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Dist#1 UL,Dist#1 LL,Dist#2 UL,Dist#2 LL,Dist#3 UL,Dist#3 LL,Dist#4 UL,Dist#4 LL,Dist#5 UL,Dist#5 LL
2003.05.07 00:00,2003.05.13 23:30,1.14297,1.16229,1.13006,1.15120,6350321,1270064,322.3,1.14910,1.16000,1.14220,178.0,2625,1287,1281,1.00,3.24,-2,20.1,1.00000,1.16100,1.15722,1.15345,1.14590,1.13835,1.13458,1.13080,551,1148,464,450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.08 00:00,2003.05.14 23:30,1.13605,1.16229,1.13006,1.14940,6349783,1269957,322.3,1.14930,1.15600,1.14680,92.0,2567,1581,886,1.78,3.17,3,19.6,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.16100,1.14300,1.13700,1.13080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.09 00:00,2003.05.15 23:30,1.14932,1.16229,1.13744,1.13847,6360458,1272092,248.5,1.14930,1.15380,1.14520,86.0,2472,1562,826,1.89,3.96,-9,18.8,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.16100,1.14200,1.14020,1.13800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.12 00:00,2003.05.16 23:30,1.14888,1.16229,1.13675,1.15705,6361579,1272316,255.4,1.15010,1.15740,1.14640,110.0,2417,1286,1066,1.21,3.75,14,18.2,1.00000,1.16100,1.15803,1.15505,1.14910,1.14315,1.14017,1.13720,474,1106,529,297,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.13 00:00,2003.05.19 23:30,1.15357,1.17353,1.13675,1.16566,6367651,1273530,367.8,1.15010,1.15740,1.14020,172.0,2487,1363,1058,1.29,2.69,-11,19.2,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17220,1.16280,1.15760,1.13720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.14 00:00,2003.05.20 23:30,1.15120,1.17353,1.13675,1.17039,6381888,1276378,367.8,1.16530,1.17340,1.14840,250.0,2407,685,1677,0.41,2.60,-12,18.6,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17220,1.16060,1.15760,1.13720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.15 00:00,2003.05.21 23:30,1.14913,1.17437,1.13675,1.16716,6374087,1274817,376.2,1.16870,1.17437,1.15120,231.7,2417,632,1742,0.36,2.56,-17,18.7,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17380,1.16060,1.15760,1.15240,1.14980,1.13720,0.00000,0.00000,0.00000,0.00000
2003.05.16 00:00,2003.05.22 23:30,1.13775,1.17437,1.13675,1.16908,6374306,1274861,376.2,1.16910,1.17180,1.16340,84.0,2470,713,1683,0.42,2.61,-2,19.2,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.17380,1.16060,1.15760,1.15240,1.14340,1.13720,0.00000,0.00000,0.00000,0.00000
2003.05.19 00:00,2003.05.23 23:30,1.16564,1.18363,1.15998,1.18236,6376433,1275287,236.5,1.16910,1.17160,1.16440,72.0,2464,1004,1388,0.72,4.11,-1,18.7,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.18360,1.18200,1.18180,1.17680,1.17400,1.16060,0.00000,0.00000,0.00000,0.00000
2003.05.20 00:00,2003.05.26 23:30,1.16520,1.18744,1.15998,1.18660,6378282,1275656,274.6,1.16970,1.17260,1.16240,102.0,2225,1041,1129,0.92,3.20,11,16.8,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.18740,1.18420,1.18380,1.17680,1.17400,1.16060,0.00000,0.00000,0.00000,0.00000
2003.05.21 00:00,2003.05.27 23:30,1.16989,1.19286,1.16181,1.18258,6372146,1274429,310.5,1.16970,1.18240,1.16200,204.0,2234,1522,661,2.30,2.86,0,16.8,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,1.19180,1.17680,1.17400,1.16220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2003.05.22 00:00,2003.05.28 23:30,1.16654,1.19286,1.16181,1.17619,6378890,1275778,310.5,1.18110,1.19040,1.17080,196.0,2266,932,1291,0.72,2.91,13,17.0,1.00000,1.19180,1.18810,1.18440,1.17700,1.16960,1.16590,1.16220,534,739,462,520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
